"representation","method","k","silhouette","calinski_harabasz","davies_bouldin","dunn_index","within_ss","min_cluster_size","max_cluster_size","balance_ratio","cophenetic_correlation","rank_silhouette","rank_ch","rank_db","rank_dunn","rank_balance","rank_total"
"selected_top15","pam",5,0.332697370213408,9.95223620995427,0.325679856382131,1.04227254754426,0.730444435879584,1,4,0.25,0.806840923840514,140,71,33,14,147,81
"selected_top15","hclust_ward",5,0.332697370213408,9.95223620995427,0.325679856382131,1.04227254754426,0.730444435879584,1,4,0.25,0.806840923840514,140,71,33,14,147,81
"selected_signal_positive_corr_mds3","kmeans",3,0.448130050605584,11.8850164215981,0.699647427422558,0.512411241599128,1.52205250472254,2,4,0.5,0.86359867858604,29,38,106,175,63,82.2
"selected_top20","kmeans",5,0.332696556285514,9.95218816534093,0.325680862428842,1.04227284751361,0.73044764016351,1,4,0.25,0.80684080266739,143,74,36,11,147,82.2
"selected_top20","pam",5,0.332696556285514,9.95218816534093,0.325680862428842,1.04227284751361,0.73044764016351,1,4,0.25,0.80684080266739,143,74,36,11,147,82.2
"selected_top20","hclust_ward",5,0.332696556285514,9.95218816534093,0.325680862428842,1.04227284751361,0.73044764016351,1,4,0.25,0.80684080266739,143,74,36,11,147,82.2
"selected_top15","kmeans",4,0.419514152826188,9.78818446929003,0.562053428878598,0.998626427060174,1.16399010123144,1,4,0.25,0.806840923840514,64,94,69,38,147,82.4
"selected_top15","pam",4,0.419514152826188,9.78818446929003,0.562053428878598,0.998626427060174,1.16399010123144,1,4,0.25,0.806840923840514,64,94,69,38,147,82.4
"selected_top15","hclust_ward",4,0.419514152826188,9.78818446929003,0.562053428878598,0.998626427060174,1.16399010123144,1,4,0.25,0.806840923840514,64,94,69,38,147,82.4
"selected_signal_positive_pca2","kmeans",2,0.470909614641594,9.90299799838898,0.669662138644201,0.483626944617487,2.92006491092056,4,5,0.8,0.813617033175766,23.5,87.5,97.5,182.5,21.5,82.5
"selected_signal_positive_pca2","hclust_ward",2,0.470909614641594,9.90299799838898,0.669662138644201,0.483626944617487,2.92006491092056,4,5,0.8,0.813617033175766,23.5,87.5,97.5,182.5,21.5,82.5
"selected_signal_positive_corr_mds4","kmeans",3,0.441932179058191,11.7254739185029,0.703330216693342,0.513255119329869,1.54291451092702,2,4,0.5,0.862648837560414,33,39,107,174,63,83.2
"selected_uncorrelated","kmeans",5,0.332696115452285,9.95216605596607,0.32568121581802,1.04227286524706,0.730449114733984,1,4,0.25,0.806840652123724,146,78.5,40.5,5,147,83.4
"selected_uncorrelated","pam",5,0.332696115452285,9.95216605596607,0.32568121581802,1.04227286524706,0.730449114733984,1,4,0.25,0.806840652123724,146,78.5,40.5,5,147,83.4
"selected_uncorrelated","hclust_ward",5,0.332696115452285,9.95216605596607,0.32568121581802,1.04227286524706,0.730449114733984,1,4,0.25,0.806840652123724,146,78.5,40.5,5,147,83.4
"selected_top20","kmeans",4,0.419513191196641,9.78814290129498,0.562054268477423,0.998626440747825,1.16399432519819,1,4,0.25,0.80684080266739,67,97,72,35,147,83.6
"selected_top20","pam",4,0.419513191196641,9.78814290129498,0.562054268477423,0.998626440747825,1.16399432519819,1,4,0.25,0.80684080266739,67,97,72,35,147,83.6
"selected_top20","hclust_ward",4,0.419513191196641,9.78814290129498,0.562054268477423,0.998626440747825,1.16399432519819,1,4,0.25,0.80684080266739,67,97,72,35,147,83.6
"panelist_weighted","kmeans",5,0.332696115452284,9.95216605596607,0.32568121581802,1.04227286524706,0.730449114733984,1,4,0.25,0.806840652123724,149,78.5,40.5,8,147,84.6
"panelist_weighted","pam",5,0.332696115452284,9.95216605596607,0.32568121581802,1.04227286524706,0.730449114733984,1,4,0.25,0.806840652123724,149,78.5,40.5,8,147,84.6
"panelist_weighted","hclust_ward",5,0.332696115452284,9.95216605596607,0.32568121581802,1.04227286524706,0.730449114733984,1,4,0.25,0.806840652123724,149,78.5,40.5,8,147,84.6
"selected_top10","kmeans",4,0.418741251902552,9.97990698179799,0.566609164612629,0.972375069737044,1.14482883428046,1,4,0.25,0.796690752442445,80,65,81,53,147,85.2
"selected_top10","pam",4,0.418741251902552,9.97990698179799,0.566609164612629,0.972375069737044,1.14482883428046,1,4,0.25,0.796690752442445,80,65,81,53,147,85.2
"selected_top10","hclust_ward",4,0.418741251902552,9.97990698179799,0.566609164612629,0.972375069737044,1.14482883428046,1,4,0.25,0.796690752442445,80,65,81,53,147,85.2
"selected_top8","kmeans",5,0.302485924738467,11.2047189554137,0.321960077071772,0.935917715678523,0.655484163889853,1,4,0.25,0.766163503096708,155,44,24,63,147,86.6
"selected_top8","pam",5,0.302485924738467,11.2047189554137,0.321960077071772,0.935917715678523,0.655484163889853,1,4,0.25,0.766163503096708,155,44,24,63,147,86.6
"selected_top8","hclust_ward",5,0.302485924738467,11.2047189554137,0.321960077071772,0.935917715678523,0.655484163889853,1,4,0.25,0.766163503096708,155,44,24,63,147,86.6
"selected_uncorrelated","kmeans",4,0.41951287369272,9.78812666497281,0.562054551184722,0.998626191146718,1.16399597507404,1,4,0.25,0.806840652123724,70,101.5,75,42.5,147,87.2
"selected_uncorrelated","pam",4,0.41951287369272,9.78812666497281,0.562054551184722,0.998626191146718,1.16399597507404,1,4,0.25,0.806840652123724,70,101.5,75,42.5,147,87.2
"selected_uncorrelated","hclust_ward",4,0.41951287369272,9.78812666497281,0.562054551184722,0.998626191146718,1.16399597507404,1,4,0.25,0.806840652123724,70,101.5,75,42.5,147,87.2
"selected_signal_positive_pca2","pam",2,0.456452285592826,9.89929597346857,0.705637391981682,0.419880926841173,2.92070459159639,4,5,0.8,0.813617033175766,25,89,110,192,21.5,87.5
"panelist_weighted","kmeans",4,0.41951287369272,9.78812666497281,0.562054551184722,0.998626191146718,1.16399597507404,1,4,0.25,0.806840652123724,73,101.5,78,42.5,147,88.4
"panelist_weighted","pam",4,0.41951287369272,9.78812666497281,0.562054551184722,0.998626191146718,1.16399597507404,1,4,0.25,0.806840652123724,73,101.5,78,42.5,147,88.4
"panelist_weighted","hclust_ward",4,0.41951287369272,9.78812666497281,0.562054551184722,0.998626191146718,1.16399597507404,1,4,0.25,0.806840652123724,73,101.5,78,42.5,147,88.4
"selected_top8","kmeans",2,0.438852093905809,9.51565099488505,0.791333045012704,0.574996342032646,3.39072313996847,4,5,0.8,0.766163503096708,34.5,105.5,137.5,147.5,21.5,89.3
"selected_top8","pam",2,0.438852093905809,9.51565099488505,0.791333045012704,0.574996342032646,3.39072313996847,4,5,0.8,0.766163503096708,34.5,105.5,137.5,147.5,21.5,89.3
"selected_signal_positive_pca4","kmeans",3,0.446413072050106,9.21297554502492,0.756287679537894,0.694968357841637,1.92196569849601,2,4,0.5,0.813451965778271,31,108,116,130,63,89.6
"selected_signal_positive_pca4","pam",3,0.446413072050106,9.21297554502492,0.756287679537894,0.694968357841637,1.92196569849601,2,4,0.5,0.813451965778271,31,108,116,130,63,89.6
"selected_signal_positive_pca4","hclust_ward",3,0.446413072050106,9.21297554502492,0.756287679537894,0.694968357841637,1.92196569849601,2,4,0.5,0.813451965778271,31,108,116,130,63,89.6
"selected_signal_positive_corr_mds3","pam",5,0.350258871301279,13.5534025209968,0.261304729091789,0.660359906310409,0.518911333498431,1,4,0.25,0.86359867858604,134,25,9,134,147,89.8
"selected_signal_positive_corr_mds4","pam",5,0.341596040252303,13.0725184995946,0.268255274854965,0.661289462017371,0.538168236429273,1,4,0.25,0.862648837560414,135,33,13,132,147,92
"selected_signal_positive","kmeans",3,0.419844399256327,8.48163489512134,0.789453576479124,0.700717129605441,2.09029465047681,2,4,0.5,0.806841018412913,46,117,123,123,63,94.4
"selected_signal_positive","pam",3,0.419844399256327,8.48163489512134,0.789453576479124,0.700717129605441,2.09029465047681,2,4,0.5,0.806841018412913,46,117,123,123,63,94.4
"selected_signal_positive","hclust_ward",3,0.419844399256327,8.48163489512134,0.789453576479124,0.700717129605441,2.09029465047681,2,4,0.5,0.806841018412913,46,117,123,123,63,94.4
"selected_top8","kmeans",4,0.399898085896427,10.51011046482,0.60371319819699,0.824129431339815,1.09498048534173,1,4,0.25,0.766163503096708,100.5,52.5,85.5,88.5,147,94.8
"selected_top8","hclust_ward",4,0.399898085896427,10.51011046482,0.60371319819699,0.824129431339815,1.09498048534173,1,4,0.25,0.766163503096708,100.5,52.5,85.5,88.5,147,94.8
"selected_top10","kmeans",5,0.323308489921224,9.94754229173907,0.327283796266914,0.994876165222264,0.730757624570835,1,4,0.25,0.796690752442445,152,83,45,47,147,94.8
"selected_top10","pam",5,0.323308489921224,9.94754229173907,0.327283796266914,0.994876165222264,0.730757624570835,1,4,0.25,0.796690752442445,152,83,45,47,147,94.8
"selected_top10","hclust_ward",5,0.323308489921224,9.94754229173907,0.327283796266914,0.994876165222264,0.730757624570835,1,4,0.25,0.796690752442445,152,83,45,47,147,94.8
"selected_signal_positive_corr_mds2","pam",3,0.418922168775306,10.4969584500168,0.435348961054964,0.590698898051555,1.66209841334324,1,4,0.25,0.86962128693875,77.5,54.5,50.5,145.5,147,95
"selected_signal_positive_corr_mds2","hclust_ward",3,0.418922168775306,10.4969584500168,0.435348961054964,0.590698898051555,1.66209841334324,1,4,0.25,0.86962128693875,77.5,54.5,50.5,145.5,147,95
"selected_top8","hclust_ward",2,0.42212626254825,8.84882013896404,0.745974250357415,0.473871408381838,3.53338605075876,4,5,0.8,0.766163503096708,40,110,114,190,21.5,95.1
"selected_signal_positive_pca3","kmeans",2,0.434372732548843,8.3798877344358,0.744337422058805,0.501093449823471,3.47095228451665,4,5,0.8,0.810340548994978,36.5,131.5,112.5,177.5,21.5,95.9
"selected_signal_positive_pca3","hclust_ward",2,0.434372732548843,8.3798877344358,0.744337422058805,0.501093449823471,3.47095228451665,4,5,0.8,0.810340548994978,36.5,131.5,112.5,177.5,21.5,95.9
"selected_top20","kmeans",3,0.419843404136946,8.48160324443507,0.789454601266036,0.70071766974384,2.09030041267385,2,4,0.5,0.80684080266739,52,123,129,114,63,96.2
"selected_top20","pam",3,0.419843404136946,8.48160324443507,0.789454601266036,0.70071766974384,2.09030041267385,2,4,0.5,0.80684080266739,52,123,129,114,63,96.2
"selected_top20","hclust_ward",3,0.419843404136946,8.48160324443507,0.789454601266036,0.70071766974384,2.09030041267385,2,4,0.5,0.80684080266739,52,123,129,114,63,96.2
"selected_top15","kmeans",3,0.419844073194473,8.4816227297861,0.78945402522299,0.700716821282483,2.09029686524521,2,4,0.5,0.806840923840514,49,120,126,126,63,96.8
"selected_top15","pam",3,0.419844073194473,8.4816227297861,0.78945402522299,0.700716821282483,2.09029686524521,2,4,0.5,0.806840923840514,49,120,126,126,63,96.8
"selected_top15","hclust_ward",3,0.419844073194473,8.4816227297861,0.78945402522299,0.700716821282483,2.09029686524521,2,4,0.5,0.806840923840514,49,120,126,126,63,96.8
"selected_signal_positive_pca4","kmeans",2,0.423180847162972,7.95994409759347,0.770769363112105,0.531815340795621,3.66111975300744,4,5,0.8,0.813451965778271,38.5,136.5,120.5,170.5,21.5,97.5
"selected_signal_positive_pca4","hclust_ward",2,0.423180847162972,7.95994409759347,0.770769363112105,0.531815340795621,3.66111975300744,4,5,0.8,0.813451965778271,38.5,136.5,120.5,170.5,21.5,97.5
"selected_uncorrelated","kmeans",3,0.41984289004477,8.48158820697611,0.789455131157361,0.700717541963539,2.09030315034446,2,4,0.5,0.806840652123724,56.5,127.5,133.5,117,63,99.5
"selected_uncorrelated","pam",3,0.41984289004477,8.48158820697611,0.789455131157361,0.700717541963539,2.09030315034446,2,4,0.5,0.806840652123724,56.5,127.5,133.5,117,63,99.5
"selected_uncorrelated","hclust_ward",3,0.41984289004477,8.48158820697611,0.789455131157361,0.700717541963539,2.09030315034446,2,4,0.5,0.806840652123724,56.5,127.5,133.5,117,63,99.5
"panelist_weighted","kmeans",3,0.41984289004477,8.48158820697611,0.789455131157361,0.700717541963539,2.09030315034446,2,4,0.5,0.806840652123724,56.5,127.5,133.5,120,63,100.1
"panelist_weighted","pam",3,0.41984289004477,8.48158820697611,0.789455131157361,0.700717541963539,2.09030315034446,2,4,0.5,0.806840652123724,56.5,127.5,133.5,120,63,100.1
"panelist_weighted","hclust_ward",3,0.41984289004477,8.48158820697611,0.789455131157361,0.700717541963539,2.09030315034446,2,4,0.5,0.806840652123724,56.5,127.5,133.5,120,63,100.1
"selected_signal_positive_corr_mds3","pam",3,0.395912671627803,10.0492210981389,0.468139073154881,0.591014201614382,1.73617845516932,1,4,0.25,0.86359867858604,102.5,62.5,58.5,143.5,147,102.8
"selected_signal_positive_corr_mds3","hclust_ward",3,0.395912671627803,10.0492210981389,0.468139073154881,0.591014201614382,1.73617845516932,1,4,0.25,0.86359867858604,102.5,62.5,58.5,143.5,147,102.8
"selected_top10","kmeans",3,0.412408450881327,8.48474946518306,0.800349844225182,0.660207860453743,2.08972777967494,2,4,0.5,0.796690752442445,83,112,142,136,63,107.2
"selected_top10","pam",3,0.412408450881327,8.48474946518306,0.800349844225182,0.660207860453743,2.08972777967494,2,4,0.5,0.796690752442445,83,112,142,136,63,107.2
"selected_top10","hclust_ward",3,0.412408450881327,8.48474946518306,0.800349844225182,0.660207860453743,2.08972777967494,2,4,0.5,0.796690752442445,83,112,142,136,63,107.2
"selected_signal_positive_corr_mds4","pam",3,0.38970754698728,9.9368888166216,0.473601612929981,0.591534318291104,1.75622962454033,1,4,0.25,0.862648837560414,112.5,85.5,60.5,141.5,147,109.4
"selected_signal_positive_corr_mds4","hclust_ward",3,0.38970754698728,9.9368888166216,0.473601612929981,0.591534318291104,1.75622962454033,1,4,0.25,0.862648837560414,112.5,85.5,60.5,141.5,147,109.4
"selected_signal_positive_pca3","pam",2,0.420525981482254,8.32633585780208,0.819314693427474,0.472844023296469,3.48308016754534,4,5,0.8,0.810340548994978,44,133,159,191,21.5,109.7
"selected_top10","kmeans",2,0.409197472434506,7.95692977268552,0.7955634853477,0.527219634966441,3.74408390298574,4,5,0.8,0.796690752442445,86.5,138.5,139.5,172.5,21.5,111.7
"selected_top10","hclust_ward",2,0.409197472434506,7.95692977268552,0.7955634853477,0.527219634966441,3.74408390298574,4,5,0.8,0.796690752442445,86.5,138.5,139.5,172.5,21.5,111.7
"selected_signal_positive_pca4","pam",2,0.411209193972425,7.92625340887849,0.849373114772737,0.543634104484863,3.66938342390783,4,5,0.8,0.813451965778271,85,140,160,159,21.5,113.1
"selected_signal_positive","kmeans",2,0.404568203839037,7.61976222895018,0.811259100798632,0.541095385538757,3.83043165292444,4,5,0.8,0.806841018412913,88.5,142.5,146.5,168.5,21.5,113.5
"selected_signal_positive","hclust_ward",2,0.404568203839037,7.61976222895018,0.811259100798632,0.541095385538757,3.83043165292444,4,5,0.8,0.806841018412913,88.5,142.5,146.5,168.5,21.5,113.5
"selected_top15","kmeans",2,0.40456790184661,7.61975442792493,0.811259747574488,0.541095529346395,3.83043369682294,4,5,0.8,0.806840923840514,90.5,144.5,148.5,166.5,21.5,114.3
"selected_top15","hclust_ward",2,0.40456790184661,7.61975442792493,0.811259747574488,0.541095529346395,3.83043369682294,4,5,0.8,0.806840923840514,90.5,144.5,148.5,166.5,21.5,114.3
"selected_top20","kmeans",2,0.404567076941077,7.61973484840724,0.811261362787921,0.541096002247951,3.83043882674117,4,5,0.8,0.80684080266739,92.5,146.5,150.5,160.5,21.5,114.3
"selected_top20","hclust_ward",2,0.404567076941077,7.61973484840724,0.811261362787921,0.541096002247951,3.83043882674117,4,5,0.8,0.80684080266739,92.5,146.5,150.5,160.5,21.5,114.3
"selected_uncorrelated","kmeans",2,0.404566603424131,7.61972371539387,0.811262287038403,0.54109580163951,3.8304417436449,4,5,0.8,0.806840652123724,95.5,149.5,152.5,162.5,21.5,116.3
"selected_uncorrelated","hclust_ward",2,0.404566603424131,7.61972371539387,0.811262287038403,0.54109580163951,3.8304417436449,4,5,0.8,0.806840652123724,95.5,149.5,152.5,162.5,21.5,116.3
"selected_top10","pam",2,0.400711884137205,7.90637321040599,0.865160018419284,0.545278056067341,3.75678236480132,4,5,0.8,0.796690752442445,99,141,163,158,21.5,116.5
"panelist_weighted","kmeans",2,0.404566603424131,7.61972371539387,0.811262287038403,0.54109580163951,3.8304417436449,4,5,0.8,0.806840652123724,95.5,149.5,154.5,164.5,21.5,117.1
"panelist_weighted","hclust_ward",2,0.404566603424131,7.61972371539387,0.811262287038403,0.54109580163951,3.8304417436449,4,5,0.8,0.806840652123724,95.5,149.5,154.5,164.5,21.5,117.1
